article_id,title,body,category,tags,status
KB-001,Password reset link expired or invalid,"Password reset links expire after a fixed time window. Ask the user to request a new link, clear browser cache, and confirm that the latest email is being used. Repeated invalid token errors should be checked in the identity logs.",Authentication,"password,reset,token,login,expired",Published
KB-002,Multi factor authentication code not received,"MFA codes may fail due to incorrect phone number, email delay, authenticator app time drift, or blocked SMS. Verify the registered method, resync the authenticator app, and use backup codes if enabled.",Authentication,"mfa,otp,code,authenticator,sms",Published
KB-003,User receives permission denied on admin page,"Permission denied errors occur when the user is missing a required role or the role cache is stale. Check assigned role, tenant membership, and refresh the session after role changes.",Access,"permission,role,admin,access,denied",Published
KB-004,Billing invoice amount is incorrect,"Invoice mismatch can happen due to tax rules, plan upgrade, usage based charges, or discount expiry. Compare invoice line items with subscription history and payment records before adjusting the bill.",Billing,"invoice,billing,tax,charge,payment",Published
KB-005,Payment failed but amount deducted,"When a payment gateway fails after bank authorization, the transaction may remain pending. Check payment status, gateway reference, and refund or capture state before retrying payment.",Billing,"payment,failed,deducted,gateway,refund",Published
KB-006,Production API service is unavailable,"If production APIs are unavailable, check service health, recent deployment, container logs, database connectivity, and upstream dependencies. Escalate immediately if multiple users are impacted.",Performance,"production,api,down,unavailable,outage",Published
KB-007,Application response time is slow,"Slow response time may be caused by heavy database queries, missing indexes, external API latency, or high traffic. Review logs, query timings, cache usage, and recent traffic spikes.",Performance,"slow,latency,performance,timeout,traffic",Published
KB-008,Deployment failed during container startup,"Container startup failures are commonly caused by missing environment variables, port conflicts, database connection errors, or image build failures. Check container logs and deployment variables.",Deployment,"deployment,container,docker,startup,environment",Published
KB-009,Database migration failed on deployment,"Migration failures can occur due to schema conflicts, missing permissions, incompatible data types, or existing records that violate new constraints. Review migration logs and apply rollback if needed.",Deployment,"migration,database,schema,deployment,rollback",Published
KB-010,Imported records are missing from dashboard,"Data import may complete but records may not appear due to validation rejects, delayed indexing, tenant filter mismatch, or failed background processing. Check import summary and rejected row logs.",Data,"import,records,missing,dashboard,validation",Published
KB-011,Duplicate records created after retry,"Duplicate records may be created when retry logic does not use idempotency keys. Check unique identifiers, import batch id, retry logs, and deduplication rules before merging records.",Data,"duplicate,retry,idempotency,records,merge",Published
KB-012,Suspicious login or possible account compromise,"Suspicious login reports require account lock, session revocation, password reset, MFA verification, and audit log review. Escalate if privileged access or data exposure is suspected.",Security,"security,compromise,suspicious,login,audit",Published
KB-013,Sensitive data visible to wrong tenant,"Cross tenant data visibility is a critical issue. Disable affected access, capture evidence, check tenant filters, review repository level queries, and escalate to security and engineering leads.",Security,"tenant,data leak,security,isolation,critical",Published
KB-014,Webhook integration is not receiving events,"Webhook failures may be caused by invalid callback URL, authentication failure, timeout, DNS issue, or rejected payload. Check delivery logs, signature validation, and endpoint response codes.",Integration,"webhook,integration,callback,events,signature",Published
KB-015,Third party API rate limit exceeded,"Rate limit issues occur when request volume exceeds vendor quota. Apply retry with backoff, cache repeated requests, queue non urgent calls, and request quota increase if business critical.",Integration,"rate limit,api,quota,retry,backoff",Published
KB-016,Report totals do not match source data,"Reporting differences may be caused by date filters, timezone conversion, excluded statuses, duplicate records, or stale aggregation tables. Compare raw data query with report logic.",Reporting,"report,totals,dashboard,timezone,aggregation",Published
KB-017,Scheduled report email not delivered,"Scheduled email failures may happen due to disabled schedule, SMTP failure, invalid recipient, attachment size, or report generation error. Check scheduler logs and mail service response.",Reporting,"scheduled,email,report,smtp,delivery",Published
KB-018,User profile update not saving,"Profile update failures may be caused by validation errors, stale session token, missing required fields, or database write failure. Check API response and validation messages.",General,"profile,save,validation,update,user",Published
KB-019,File upload fails for large attachments,"Large file uploads can fail due to file size limits, unsupported type, network timeout, or storage permissions. Validate file type, size limit, storage path, and upload service logs.",General,"file,upload,attachment,storage,limit",Published
KB-020,Search results do not show expected records,"Search issues may be caused by stale index, incorrect filters, stopword handling, special character parsing, or permission filters. Rebuild index if required and compare with direct database query.",General,"search,index,filters,records,query",Published
